time_s,edge_id,pos_on_edge_m,velocity_mps,odometer_m,cumulative_energy_kwh,throttle,brake
494.0000000000438,e2,1104.2863231206493,22.58015015664525,6104.286323120641,67.22481050036163,0.2,0.0
494.10000000004385,e2,1106.54451964096,22.583780249570932,6106.544519640952,67.22481050036163,0.2,0.0
494.2000000000439,e2,1108.8030791651065,22.587410233355794,6108.803079165098,67.22481050036163,0.2,0.0
494.3000000000439,e2,1111.062001682174,22.591040107992573,6111.062001682166,67.22481050036163,0.2,0.0
494.4000000000439,e2,1113.3212871812473,22.59466987347401,6113.321287181239,67.22481050036163,0.2,0.0
494.50000000004394,e2,1115.5809356514105,22.598299529792854,6115.580935651403,67.22481050036163,0.2,0.0
494.60000000004396,e2,1117.8409470817473,22.60192907694184,6117.84094708174,67.22481050036163,0.2,0.0
494.700000000044,e2,1120.1013214613401,22.605558514913717,6120.101321461332,67.22481050036163,0.2,0.0
494.800000000044,e2,1122.362058779271,22.60918784370123,6122.362058779263,67.22481050036163,0.2,0.0
494.90000000004403,e2,1124.623159024621,22.612817063297122,6124.6231590246125,67.22481050036163,0.2,0.0
495.00000000004405,e2,1126.8846221864706,22.616446173694147,6126.884622186462,67.22481050036163,0.2,0.0
495.1000000000441,e2,1129.1464482538995,22.620075174885052,6129.146448253891,67.22481050036163,0.2,0.0
495.2000000000441,e2,1131.4086372159868,22.623704066862587,6131.408637215979,67.22481050036163,0.2,0.0
495.3000000000441,e2,1133.671189061811,22.627332849619503,6133.6711890618035,67.22481050036163,0.2,0.0
495.40000000004414,e2,1135.9341037804495,22.630961523148553,6135.934103780442,67.22481050036163,0.2,0.0
495.50000000004417,e2,1138.197381360979,22.63459008744249,6138.197381360971,67.22481050036163,0.2,0.0
495.6000000000442,e2,1140.461021792476,22.63821854249407,6140.461021792468,67.22481050036163,0.2,0.0
495.7000000000442,e2,1142.7250250640154,22.641846888296048,6142.725025064008,67.22481050036163,0.2,0.0
495.80000000004424,e2,1144.9893911646723,22.645475124841184,6144.989391164665,67.22481050036163,0.2,0.0
495.90000000004426,e2,1147.2541200835205,22.649103252122234,6147.254120083513,67.22481050036163,0.2,0.0
496.0000000000443,e2,1149.5192118096334,22.65273127013196,6149.519211809626,67.22481050036163,0.2,0.0
496.1000000000443,e2,1151.7846663320831,22.65635917886312,6151.784666332075,67.22481050036163,0.2,0.0
496.2000000000443,e2,1154.0504836399416,22.659986978308478,6154.050483639934,67.22481050036163,0.2,0.0
496.30000000004435,e2,1156.31666372228,22.663614668460795,6156.316663722273,67.22481050036163,0.2,0.0
496.4000000000444,e2,1158.5832065681686,22.66724224931284,6158.583206568162,67.22481050036163,0.2,0.0
496.5000000000444,e2,1160.8452121666771,22.572869720857373,6160.8452121666705,67.22481050036163,0.0,0.35
496.6000000000444,e2,1163.102680654352,22.57650003264175,6163.102680654346,67.22481050036163,0.2,0.0
496.70000000004444,e2,1165.3605121677492,22.58013023529987,6165.360512167743,67.22481050036163,0.2,0.0
496.80000000004446,e2,1167.6187066959553,22.583760328824468,6167.618706695949,67.22481050036163,0.2,0.0
496.9000000000445,e2,1169.877264228057,22.587390313208285,6169.877264228051,67.22481050036163,0.2,0.0
497.0000000000445,e2,1172.1361847531396,22.591020188444062,6172.136184753133,67.22481050036163,0.2,0.0
497.10000000004453,e2,1174.395468260288,22.594649954524538,6174.395468260282,67.22481050036163,0.2,0.0
497.20000000004455,e2,1176.6551147385862,22.598279611442457,6176.65511473858,67.22481050036163,0.2,0.0
497.3000000000446,e2,1178.9151241771178,22.601909159190562,6178.9151241771115,67.22481050036163,0.2,0.0
497.4000000000446,e2,1181.1754965649654,22.605538597761594,6181.175496564959,67.22481050036163,0.2,0.0
497.5000000000446,e2,1183.436231891211,22.609167927148302,6183.436231891204,67.22481050036163,0.2,0.0
497.60000000004464,e2,1185.6973301449357,22.612797147343432,6185.697330144929,67.22481050036163,0.2,0.0
497.70000000004467,e2,1187.9587913152197,22.616426258339732,6187.958791315213,67.22481050036163,0.2,0.0
497.8000000000447,e2,1190.2206153911432,22.620055260129952,6190.220615391137,67.22481050036163,0.2,0.0
497.9000000000447,e2,1192.482802361785,22.623684152706844,6192.482802361778,67.22481050036163,0.2,0.0
498.00000000004474,e2,1194.7453522162234,22.627312936063156,6194.745352216217,67.22481050036163,0.2,0.0
498.10000000004476,e2,1197.0082649435362,22.63094161019164,6197.00826494353,67.22481050036163,0.2,0.0
498.2000000000448,e2,1199.2715405328001,22.634570175085052,6199.271540532794,67.22481050036163,0.2,0.0
498.3000000000448,e2,1201.5351789730912,22.63819863073615,6201.535178973085,67.22481050036163,0.2,0.0
498.4000000000448,e2,1203.7991802534848,22.641826977137683,6203.799180253479,67.22481050036163,0.2,0.0
498.50000000004485,e2,1206.0635443630558,22.64545521428241,6206.06354436305,67.22481050036163,0.2,0.0
498.6000000000449,e2,1208.328271290878,22.649083342163095,6208.328271290872,67.22481050036163,0.2,0.0
498.7000000000449,e2,1210.593361026025,22.652711360772493,6210.593361026019,67.22481050036163,0.2,0.0
498.8000000000449,e2,1212.8588135575687,22.656339270103366,6212.858813557563,67.22481050036163,0.2,0.0
498.90000000004494,e2,1215.1246288745813,22.659967070148475,6215.124628874575,67.22481050036163,0.2,0.0
499.00000000004496,e2,1217.3908069661338,22.663594760900587,6217.3908069661275,67.22481050036163,0.2,0.0
499.100000000045,e2,1219.6573478212965,22.66722234235246,6219.65734782129,67.22481050036163,0.2,0.0
499.200000000045,e2,1221.919351429139,22.572849814496866,6221.919351429133,67.22481050036163,0.0,0.35
499.30000000004503,e2,1224.1768179262078,22.57648012687959,6224.176817926202,67.22481050036163,0.2,0.0
499.40000000004505,e2,1226.4346474490587,22.5801103301361,6226.434647449052,67.22481050036163,0.2,0.0
499.5000000000451,e2,1228.6928399867784,22.58374042425913,6228.692839986772,67.22481050036163,0.2,0.0
499.6000000000451,e2,1230.9513955284533,22.58737040924142,6230.951395528447,67.22481050036163,0.2,0.0
499.7000000000451,e2,1233.210314063169,22.591000285075708,6233.210314063163,67.22481050036163,0.2,0.0
499.80000000004515,e2,1235.4695955800107,22.594630051754734,6235.469595580005,67.22481050036163,0.2,0.0
499.90000000004517,e2,1237.729240068062,22.598259709271243,6237.729240068056,67.22481050036163,0.2,0.0
500.0000000000452,e2,1239.9892475164063,22.601889257617977,6239.989247516401,67.22481050036163,0.2,0.0
500.1000000000452,e2,1242.2496179141265,22.60551869678768,6242.249617914121,67.22481050036163,0.2,0.0
500.20000000004524,e2,1244.5103512503044,22.6091480267731,6244.510351250299,67.22481050036163,0.2,0.0
500.30000000004526,e2,1246.7714475140215,22.612777247566978,6246.7714475140165,67.22481050036163,0.2,0.0
500.4000000000453,e2,1249.032906694358,22.616406359162067,6249.032906694353,67.22481050036163,0.2,0.0
